GEOID,label,Commercial Office,Commercial Office - 2+ Floors,Commercial Office - Mixed Use,Commercial Retail,Commercial Retail - Department Store,Commercial Retail - Food & Drink,Commercial Retail - Mall,"Commercial Retail - Shopping Plaza, Mini-Mall",Commercial Retail - Truck Stop,Multi-Family Residential,Multi-Family Residential - 2 to 4 units,Multi-Family Residential - 5+ units,Multi-Family Residential - High-Rise,Residential  ,Residential - Condo,Residential - Townhouse,distance_from_core
13121001203,Urban,0.003076923076923,0.0,0.0292307692307692,0.0184615384615384,0.0,0.0092307692307692,0.0,0.0,0.0,0.0,0.0261538461538461,0.0646153846153846,0.0215384615384615,0.0846153846153846,0.7061538461538461,0.0292307692307692,1590.9585113787748
13121001204,Urban,0.0080906148867313,0.0,0.0355987055016181,0.0113268608414239,0.0,0.0032362459546925,0.0,0.0,0.0,0.0113268608414239,0.0533980582524271,0.1084142394822006,0.0064724919093851,0.2411003236245954,0.3996763754045307,0.1213592233009708,2152.6434440471894
13121001205,Urban,0.0088888888888888,0.0111111111111111,0.0022222222222222,0.0088888888888888,0.0,0.0122222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0044444444444444,0.0,0.9144444444444444,0.0,1590.1713390455568
13121001206,Urban,0.0159574468085106,0.0063829787234042,0.0,0.0138297872340425,0.0,0.0095744680851063,0.0,0.0,0.0,0.0,0.0,0.002127659574468,0.0085106382978723,0.0,0.9095744680851064,0.0,2161.07085053196
13121001301,Urban,0.0050314465408805,0.0,0.0465408805031446,0.0176100628930817,0.0,0.0062893081761006,0.0,0.0,0.0,0.0,0.1194968553459119,0.0729559748427673,0.0,0.3459119496855345,0.3295597484276729,0.0515723270440251,2127.166215748194
13121001302,Urban,0.0133982947624847,0.0109622411693057,0.0292326431181485,0.0377588306942752,0.0,0.0170523751522533,0.0,0.0133982947624847,0.0,0.0,0.0645554202192448,0.0487210718635809,0.0,0.2606577344701583,0.4628501827040195,0.0304506699147381,2344.3812075957735
13121001400,Urban,0.0048959608323133,0.0,0.0195838433292533,0.02937576499388,0.0,0.0195838433292533,0.0,0.0,0.0,0.003671970624235,0.0428396572827417,0.0575275397796817,0.0,0.4369645042839657,0.3341493268053855,0.0354957160342717,2929.384253760028
13121001501,Urban,0.1170068027210884,0.0,0.0217687074829931,0.0462585034013605,0.0,0.019047619047619,0.0,0.0068027210884353,0.0,0.0,0.0843537414965986,0.0897959183673469,0.0108843537414965,0.2775510204081632,0.2884353741496598,0.0299319727891156,3367.635099813121
13121001502,Urban,0.0023809523809523,0.0,0.0261904761904761,0.019047619047619,0.0,0.0142857142857142,0.0,0.0023809523809523,0.0,0.0,0.0964285714285714,0.1035714285714285,0.0,0.4809523809523809,0.2214285714285714,0.0321428571428571,3669.227796782401
13121001600,Urban,0.00920245398773,0.0,0.0214723926380368,0.0720858895705521,0.0,0.0245398773006134,0.0,0.0,0.0,0.004601226993865,0.062883435582822,0.0552147239263803,0.0122699386503067,0.3726993865030675,0.3236196319018405,0.0291411042944785,2985.519938848926
13121001701,Urban,0.0272373540856031,0.0,0.0038910505836575,0.0077821011673151,0.0,0.0,0.0,0.0,0.0,0.0097276264591439,0.1070038910505836,0.1478599221789883,0.0038910505836575,0.5019455252918288,0.0661478599221789,0.1011673151750972,1610.2167339644714
13121001702,Urban,0.0372208436724565,0.0,0.0049627791563275,0.0248138957816377,0.0,0.0049627791563275,0.0,0.0,0.0,0.009925558312655,0.0248138957816377,0.0223325062034739,0.0595533498759305,0.3300248138957816,0.141439205955335,0.3101736972704714,2151.5741098703597
13121001801,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059701492537313,0.0,0.0,0.0298507462686567,0.0835820895522388,0.0119402985074626,0.1343283582089552,0.6716417910447762,0.0597014925373134,1317.6759148563037
13121001802,Urban,0.0187919463087248,0.0053691275167785,0.0,0.0053691275167785,0.0,0.0026845637583892,0.0,0.0,0.0,0.0,0.0013422818791946,0.0268456375838926,0.0053691275167785,0.0510067114093959,0.8577181208053691,0.0187919463087248,864.6839360604756
13121001901,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0810478133795
13121001902,Urban,0.0476190476190476,0.1328320802005012,0.0,0.112781954887218,0.0,0.0676691729323308,0.0451127819548872,0.012531328320802,0.0,0.0,0.0,0.0100250626566416,0.025062656641604,0.0050125313283208,0.4060150375939849,0.0,639.7041217248807
13121002100,Urban,0.0204778156996587,0.0375426621160409,0.0,0.0648464163822525,0.0,0.0136518771331058,0.0,0.0,0.0,0.0085324232081911,0.0017064846416382,0.0,0.0,0.0,0.7184300341296929,0.0375426621160409,967.1570831018274
13121002300,Urban,0.0,0.0,0.0,0.0154083204930662,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.1016949152542373,0.0,0.7781201848998459,0.0,0.0,3083.1531713556496
13121002400,Urban,0.0107296137339055,0.0,0.0,0.0246781115879828,0.0,0.0,0.0,0.0,0.0,0.0,0.0708154506437768,0.0407725321888412,0.0,0.8508583690987125,0.0,0.0,3555.353709441091
13121002500,Urban,0.0204081632653061,0.0,0.0018552875695732,0.0185528756957328,0.0,0.0037105751391465,0.0,0.0,0.0,0.0148423005565862,0.0426716141001855,0.0742115027829313,0.0,0.536178107606679,0.274582560296846,0.0018552875695732,2428.7199809704875
13121002600,Urban,0.0,0.0,0.0,0.0535714285714285,0.0,0.0119047619047619,0.0,0.0,0.0,0.0297619047619047,0.0357142857142857,0.0714285714285714,0.0,0.7678571428571429,0.0,0.0,1503.353306798967
13121002801,Urban,0.0311526479750778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062305295950155,0.0,0.0124610591900311,0.0031152647975077,0.6728971962616822,0.2679127725856697,741.9787309991084
13121002802,Urban,0.0685358255451713,0.0,0.0062305295950155,0.2024922118380062,0.0,0.0124610591900311,0.0,0.0062305295950155,0.0,0.0186915887850467,0.0062305295950155,0.0186915887850467,0.0186915887850467,0.0373831775700934,0.5015576323987538,0.0,690.4361726122142
13121002900,Urban,0.0259259259259259,0.0,0.0,0.037037037037037,0.0,0.0024691358024691,0.0,0.0,0.0,0.0086419753086419,0.045679012345679,0.0432098765432098,0.0037037037037037,0.328395061728395,0.4123456790123457,0.0604938271604938,1605.0145842983143
13121003000,Urban,0.0169218372280419,0.0,0.008058017727639,0.048348106365834,0.0,0.0056406124093473,0.0,0.0,0.0,0.0032232070910556,0.0427074939564867,0.0257856567284448,0.0048348106365834,0.4222401289282836,0.3158742949234488,0.0789685737308622,2694.562211929595
13121003100,Urban,0.0023923444976076,0.0,0.0,0.0430622009569378,0.0,0.0071770334928229,0.0,0.0,0.0,0.0059808612440191,0.0322966507177033,0.0071770334928229,0.0,0.6016746411483254,0.0251196172248803,0.2607655502392344,3246.7122801719975
13121003200,Urban,0.0050804403048264,0.0,0.0237087214225232,0.0143945808636748,0.0,0.008467400508044,0.0,0.0,0.0,0.0016934801016088,0.0499576629974597,0.0160880609652836,0.0059271803556308,0.4419983065198984,0.3835732430143946,0.0355630821337849,2311.042168659578
13121003500,Urban,0.0336605890603085,0.0084151472650771,0.0182328190743338,0.2776998597475456,0.0,0.0112201963534361,0.0,0.0,0.0,0.0168302945301542,0.0,0.0070126227208976,0.0070126227208976,0.0,0.4796633941093969,0.0154277699859747,1129.4686640658178
13121003600,Urban,0.0111111111111111,0.0,0.0055555555555555,0.0222222222222222,0.0,0.0416666666666666,0.0,0.0,0.0,0.0083333333333333,0.0,0.0138888888888888,0.0,0.0194444444444444,0.7305555555555555,0.0083333333333333,1776.7476177435215
13121003700,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2515.380333159102
