GEOID,Multi-Family Residential,Multi-Family Residential - 2 to 4 units,Multi-Family Residential - 5+ units,Multi-Family Residential - High-Rise,Multi-Family Residential - Mobile Home Park,Residential  ,Residential - Condo,Residential - Mobile Home Park,Residential - Parking Garage,Residential - Townhouse
13089023429,0.07912457912457913,0.0,0.0,0.0,0.0,0.20707070707070707,0.3383838383838384,0.0,0.0,0.37542087542087543
13089023430,0.06158940397350993,0.0,0.0,0.0,0.0,0.15894039735099338,0.4642384105960265,0.0,0.0,0.3152317880794702
13089023431,0.03953488372093023,0.0,0.0,0.0,0.0,0.9511627906976744,0.009302325581395349,0.0,0.0,0.0
13089023432,0.003986710963455149,0.0,0.0,0.0,0.0,0.9707641196013289,0.02524916943521595,0.0,0.0,0.0
13089023433,0.0049382716049382715,0.0,0.0,0.0,0.0,0.9851851851851852,0.009876543209876543,0.0,0.0,0.0
13089023434,0.008971291866028708,0.0,0.0,0.0,0.0,0.9730861244019139,0.017942583732057416,0.0,0.0,0.0
13089023435,0.21428571428571427,0.0,0.0,0.0,0.0,0.6904761904761905,0.08928571428571429,0.0,0.0,0.005952380952380952
13089023436,0.0017985611510791368,0.0,0.0,0.0,0.0,0.9856115107913669,0.012589928057553957,0.0,0.0,0.0
13089023437,0.003097345132743363,0.0048672566371681415,0.0004424778761061947,0.0,0.0,0.9809734513274336,0.010619469026548672,0.0,0.0,0.0
13089023438,0.0,0.0,0.0,0.0,0.0,0.553995157384988,0.2179176755447942,0.0,0.0,0.22808716707021792
13089023439,0.13682432432432431,0.0,0.0,0.0,0.0,0.19256756756756757,0.22297297297297297,0.0,0.0,0.44763513513513514
13089023440,0.039819684447783624,0.0,0.0,0.0,0.0,0.5882794891059354,0.014274981217129978,0.0,0.0,0.35762584522915103
13089023441,0.0045871559633027525,0.0,0.0,0.0,0.0,0.9892966360856269,0.0061162079510703364,0.0,0.0,0.0
13089023442,0.010232558139534883,0.0,0.0,0.0,0.0,0.9804651162790697,0.009302325581395349,0.0,0.0,0.0
13089023443,0.0020222446916076846,0.0,0.0,0.0,0.0,0.9772497472194136,0.009605662285136502,0.0,0.0,0.011122345803842264
13089023444,0.017114914425427872,0.0,0.0,0.0,0.0,0.8496332518337408,0.1332518337408313,0.0,0.0,0.0
13089023445,0.001273074474856779,0.0,0.0,0.0,0.0,0.9923615531508593,0.006365372374283896,0.0,0.0,0.0
13089023446,0.07766990291262135,0.003236245954692557,0.0,0.0,0.0,0.7346278317152104,0.18446601941747573,0.0,0.0,0.0
13089023447,0.0008904719501335708,0.0,0.0,0.0,0.0,0.9857524487978628,0.013357079252003561,0.0,0.0,0.0
